id,why_correct,why_others_wrong,cites
REG-MCQ-INDI-0001,"IRC §62: AGI = Gross income - above-the-line deductions. SE tax deduction (SE inc × 0.9235 × 15.3% × 0.5), IRA, student loan interest are above-line.",$100000; ${wages + se_income},"IRC §62(a), IRC §164(f), IRC §221"
REG-MCQ-INDI-0002,"IRC §62: AGI = Gross income - above-the-line deductions. SE tax deduction (SE inc × 0.9235 × 15.3% × 0.5), IRA, student loan interest are above-line.",${agi_calc + ira + sli}; $80000,"IRC §62(a), IRC §164(f), IRC §221"
REG-MCQ-INDI-0003,"IRC §62: AGI = Gross income - above-the-line deductions. SE tax deduction (SE inc × 0.9235 × 15.3% × 0.5), IRA, student loan interest are above-line.",${agi_calc + ira + sli}; ${wages + se_income},"IRC §62(a), IRC §164(f), IRC §221"
REG-MCQ-INDI-0004,"IRC §62: AGI = Gross income - above-the-line deductions. SE tax deduction (SE inc × 0.9235 × 15.3% × 0.5), IRA, student loan interest are above-line.",$100000; ${wages + se_income},"IRC §62(a), IRC §164(f), IRC §221"
REG-MCQ-INDI-0005,"IRC §62: AGI = Gross income - above-the-line deductions. SE tax deduction (SE inc × 0.9235 × 15.3% × 0.5), IRA, student loan interest are above-line.",$80000; ${wages + se_income},"IRC §62(a), IRC §164(f), IRC §221"
REG-MCQ-INDI-0006,"IRC §62: AGI = Gross income - above-the-line deductions. SE tax deduction (SE inc × 0.9235 × 15.3% × 0.5), IRA, student loan interest are above-line.",$150000; ${wages + se_income},"IRC §62(a), IRC §164(f), IRC §221"
REG-MCQ-INDI-0007,"IRC §62: AGI = Gross income - above-the-line deductions. SE tax deduction (SE inc × 0.9235 × 15.3% × 0.5), IRA, student loan interest are above-line.",${wages + se_income}; ${agi_calc + ira + sli},"IRC §62(a), IRC §164(f), IRC §221"
REG-MCQ-INDI-0008,"IRC §62: AGI = Gross income - above-the-line deductions. SE tax deduction (SE inc × 0.9235 × 15.3% × 0.5), IRA, student loan interest are above-line.",${wages + se_income}; ${agi_calc + ira + sli},"IRC §62(a), IRC §164(f), IRC §221"
REG-MCQ-INDI-0009,"IRC §62: AGI = Gross income - above-the-line deductions. SE tax deduction (SE inc × 0.9235 × 15.3% × 0.5), IRA, student loan interest are above-line.",$100000; ${wages + se_income},"IRC §62(a), IRC §164(f), IRC §221"
REG-MCQ-INDI-0010,"IRC §62: AGI = Gross income - above-the-line deductions. SE tax deduction (SE inc × 0.9235 × 15.3% × 0.5), IRA, student loan interest are above-line.",${agi_calc + ira + sli}; $80000,"IRC §62(a), IRC §164(f), IRC §221"
REG-MCQ-INDI-0011,"IRC §62: AGI = Gross income - above-the-line deductions. SE tax deduction (SE inc × 0.9235 × 15.3% × 0.5), IRA, student loan interest are above-line.",${wages + se_income}; $100000,"IRC §62(a), IRC §164(f), IRC §221"
REG-MCQ-INDI-0012,"IRC §62: AGI = Gross income - above-the-line deductions. SE tax deduction (SE inc × 0.9235 × 15.3% × 0.5), IRA, student loan interest are above-line.",${wages + se_income}; $80000,"IRC §62(a), IRC §164(f), IRC §221"
REG-MCQ-INDI-0013,"IRC §62: AGI = Gross income - above-the-line deductions. SE tax deduction (SE inc × 0.9235 × 15.3% × 0.5), IRA, student loan interest are above-line.",$100000; ${wages + se_income},"IRC §62(a), IRC §164(f), IRC §221"
REG-MCQ-INDI-0014,"IRC §62: AGI = Gross income - above-the-line deductions. SE tax deduction (SE inc × 0.9235 × 15.3% × 0.5), IRA, student loan interest are above-line.",${wages + se_income}; $100000,"IRC §62(a), IRC §164(f), IRC §221"
REG-MCQ-INDI-0015,"IRC §62: AGI = Gross income - above-the-line deductions. SE tax deduction (SE inc × 0.9235 × 15.3% × 0.5), IRA, student loan interest are above-line.",$80000; ${agi_calc + ira + sli},"IRC §62(a), IRC §164(f), IRC §221"
